K,noise_percent,iterations,converged,initial_acc,final_acc
10,50.0,4,True,0.12345679012345678,0.12345679012345678
10,50.0,2,True,0.09876543209876543,0.09876543209876543
10,50.0,5,True,0.1111111111111111,0.12345679012345678
10,50.0,16,True,0.1111111111111111,0.07407407407407407
10,50.0,5,True,0.07407407407407407,0.14814814814814814
10,50.0,2,True,0.12345679012345678,0.12345679012345678
10,50.0,4,True,0.1111111111111111,0.08641975308641975
10,50.0,3,True,0.07407407407407407,0.13580246913580246
10,50.0,2,True,0.04938271604938271,0.04938271604938271
10,50.0,4,True,0.1111111111111111,0.09876543209876543
10,50.0,2,True,0.08641975308641975,0.08641975308641975
10,50.0,3,True,0.13580246913580246,0.12345679012345678
10,50.0,2,True,0.12345679012345678,0.12345679012345678
10,50.0,2,True,0.1111111111111111,0.1111111111111111
10,50.0,9,True,0.1111111111111111,0.09876543209876543
10,50.0,2,True,0.04938271604938271,0.04938271604938271
10,50.0,6,True,0.12345679012345678,0.14814814814814814
10,50.0,6,True,0.07407407407407407,0.04938271604938271
10,50.0,4,True,0.16049382716049382,0.037037037037037035
10,50.0,2,True,0.12345679012345678,0.12345679012345678
10,50.0,11,True,0.07407407407407407,0.09876543209876543
10,50.0,8,True,0.12345679012345678,0.20987654320987653
10,50.0,3,True,0.08641975308641975,0.1111111111111111
10,50.0,2,True,0.13580246913580246,0.13580246913580246
10,50.0,6,True,0.07407407407407407,0.08641975308641975
10,50.0,7,True,0.1728395061728395,0.08641975308641975
10,50.0,3,True,0.09876543209876543,0.09876543209876543
10,50.0,3,True,0.18518518518518517,0.08641975308641975
10,50.0,5,True,0.12345679012345678,0.12345679012345678
10,50.0,4,True,0.12345679012345678,0.18518518518518517
10,50.0,2,True,0.12345679012345678,0.12345679012345678
10,50.0,2,True,0.09876543209876543,0.09876543209876543
10,50.0,8,True,0.16049382716049382,0.12345679012345678
10,50.0,3,True,0.13580246913580246,0.12345679012345678
10,50.0,3,True,0.1111111111111111,0.13580246913580246
10,55.00000000000001,7,True,0.07407407407407407,0.08641975308641975
10,55.00000000000001,4,True,0.09876543209876543,0.12345679012345678
10,55.00000000000001,5,True,0.08641975308641975,0.07407407407407407
10,55.00000000000001,8,True,0.14814814814814814,0.12345679012345678
10,55.00000000000001,3,True,0.1111111111111111,0.06172839506172839
10,55.00000000000001,11,True,0.13580246913580246,0.14814814814814814
10,55.00000000000001,6,True,0.08641975308641975,0.04938271604938271
10,55.00000000000001,7,True,0.13580246913580246,0.08641975308641975
10,55.00000000000001,13,True,0.08641975308641975,0.12345679012345678
10,55.00000000000001,9,True,0.09876543209876543,0.09876543209876543
10,55.00000000000001,2,True,0.06172839506172839,0.06172839506172839
10,55.00000000000001,5,True,0.09876543209876543,0.08641975308641975
10,55.00000000000001,7,True,0.16049382716049382,0.09876543209876543
10,55.00000000000001,3,True,0.1111111111111111,0.16049382716049382
10,55.00000000000001,2,True,0.08641975308641975,0.08641975308641975
10,55.00000000000001,8,True,0.1111111111111111,0.14814814814814814
10,55.00000000000001,5,True,0.1111111111111111,0.04938271604938271
10,55.00000000000001,4,True,0.1111111111111111,0.08641975308641975
10,55.00000000000001,7,True,0.1111111111111111,0.08641975308641975
10,55.00000000000001,3,True,0.06172839506172839,0.1111111111111111
10,55.00000000000001,9,True,0.13580246913580246,0.16049382716049382
10,55.00000000000001,12,True,0.12345679012345678,0.09876543209876543
10,55.00000000000001,3,True,0.13580246913580246,0.1728395061728395
10,55.00000000000001,3,True,0.04938271604938271,0.13580246913580246
10,55.00000000000001,5,True,0.1111111111111111,0.13580246913580246
10,55.00000000000001,5,True,0.14814814814814814,0.13580246913580246
10,55.00000000000001,3,True,0.09876543209876543,0.04938271604938271
10,55.00000000000001,2,True,0.09876543209876543,0.09876543209876543
10,55.00000000000001,2,True,0.08641975308641975,0.08641975308641975
10,55.00000000000001,7,True,0.08641975308641975,0.08641975308641975
10,55.00000000000001,6,True,0.14814814814814814,0.09876543209876543
10,55.00000000000001,2,True,0.13580246913580246,0.13580246913580246
