M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
20,2.0,regression,0.0022466182708740234,0.17654320987654323,0.899074074074074,0.9025462962962963,0.6569096677396231,0.5366666666666667,0.9995035639039447,1.0
20,2.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,5.0,regression,0.0022466182708740234,0.11111111111111113,0.9407407407407407,0.5766975308641976,0.3050095575331623,0.348,0.49055227209006935,0.55
20,5.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,10.0,regression,0.0022466182708740234,0.11111111111111113,0.9972222222222221,0.3521296296296295,0.19182127084341818,0.3123333333333334,0.04999565017682038,0.05
20,10.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,15.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987465,0.31300000000000006,0.04999999999999999,0.05
20,15.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,20.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987468,0.31300000000000006,0.04999999999999999,0.05
20,20.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,30.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987468,0.31300000000000006,0.049999999999999996,0.05
20,30.0,attention,0.0022466182708740234,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,50.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987465,0.313,0.04999999999999999,0.05
20,50.0,attention,0.0022466182708740234,0.11975308641975309,0.17299382716049383,0.8073456790123457,0.04556733005623237,0.21566666666666667,0.00816108301513555,0.0
20,75.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987465,0.31300000000000006,0.04999999999999999,0.05
20,75.0,attention,0.0022466182708740234,0.1179012345679012,0.170679012345679,0.802962962962963,0.038654249477937816,0.20400000000000001,0.009440941893148423,0.0
20,100.0,regression,0.0022466182708740234,0.11111111111111113,1.0,0.34999999999999987,0.19245008972987468,0.313,0.049999999999999996,0.05
20,100.0,attention,0.0022466182708740234,0.10802469135802469,0.19151234567901232,0.789567901234568,0.03972678319290378,0.219,0.019601402346043094,0.05
50,0.0,regression,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,0.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,2.0,regression,0.02834630012512207,0.13481481481481464,0.851666666666667,0.8251728395061729,0.5104231306629063,0.4458666666666668,0.8891464865439959,0.92
50,2.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.0,regression,0.02834630012512207,0.11111111111111102,0.9480246913580251,0.44745679012345696,0.22344424407690874,0.32520000000000004,0.14226431195122927,0.2
50,5.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,10.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.3147999999999999,0.020000000000000007,0.02
50,10.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,15.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.3148,0.02,0.02
50,15.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,20.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.3147999999999999,0.02,0.02
50,20.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,30.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.31479999999999997,0.020000000000000004,0.02
50,30.0,attention,0.02834630012512207,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,50.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.3147999999999999,0.020000000000000004,0.02
50,50.0,attention,0.02834630012512207,0.09901234567901238,0.21660493827160482,0.7864567901234567,0.05417590156990993,0.2277333333333334,0.01277485354505062,0.0
50,75.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.19245008972987473,0.3147999999999999,0.020000000000000004,0.02
50,75.0,attention,0.02834630012512207,0.10864197530864195,0.21728395061728395,0.7792530864197531,0.04705023106623627,0.21973333333333328,0.008697313026126828,0.0
50,100.0,regression,0.02834630012512207,0.11111111111111102,1.0,0.3499999999999999,0.1924500897298747,0.31479999999999997,0.020000000000000004,0.02
50,100.0,attention,0.02834630012512207,0.1155555555555555,0.24388888888888882,0.763,0.04859824164290211,0.2102666666666667,0.010077942542409584,0.02
