sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.3,5,0.44,0.6133333333333333
0.3,1,0.14,0.6066666666666667
0.3,8,0.08,0.7
0.3,6,0.3,0.6466666666666666
0.3,3,0.18,0.5533333333333333
0.3,8,0.11333333333333333,0.6266666666666667
0.3,2,0.18,0.7266666666666667
0.3,3,0.26666666666666666,0.64
0.3,9,0.4066666666666667,0.6533333333333333
0.3,3,0.24666666666666667,0.6466666666666666
0.3,8,0.07333333333333333,0.7066666666666667
0.3,1,0.2866666666666667,0.5333333333333333
0.3,7,0.22,0.5733333333333334
0.3,5,0.3,0.7066666666666667
0.3,4,0.6466666666666666,0.6333333333333333
0.3,8,0.07333333333333333,0.62
0.3,6,0.16,0.62
0.3,5,0.44666666666666666,0.62
0.3,8,0.08,0.6466666666666666
0.3,3,0.14666666666666667,0.5666666666666667
0.3,5,0.2733333333333333,0.7
0.3,8,0.006666666666666667,0.7133333333333334
0.3,7,0.23333333333333334,0.5466666666666666
0.3,3,0.06666666666666667,0.6666666666666666
0.3,6,0.5066666666666667,0.6266666666666667
0.3,6,0.32666666666666666,0.66
0.3,7,0.4,0.5533333333333333
0.3,2,0.2733333333333333,0.6866666666666666
0.3,9,0.14,0.6333333333333333
0.3,7,0.4866666666666667,0.5933333333333334
0.3,5,0.23333333333333334,0.5533333333333333
0.3,6,0.12,0.64
0.3,7,0.34,0.5733333333333334
0.3,1,0.32,0.5
0.3,7,0.32,0.6066666666666667
0.3,6,0.8866666666666667,0.5466666666666666
0.3,2,0.0,0.6533333333333333
0.3,1,0.3,0.44666666666666666
0.3,9,0.31333333333333335,0.64
0.3,6,0.013333333333333334,0.6466666666666666
0.3,2,0.6733333333333333,0.6866666666666666
0.3,5,0.21333333333333335,0.6666666666666666
0.3,7,0.3,0.62
0.3,5,0.17333333333333334,0.5866666666666667
0.3,3,0.5533333333333333,0.6333333333333333
0.3,8,0.44,0.66
0.3,7,0.7533333333333333,0.52
0.3,4,0.05333333333333334,0.6533333333333333
0.3,6,0.25333333333333335,0.64
0.3,6,0.16666666666666666,0.5
0.3,2,0.0,0.6333333333333333
0.3,5,0.7,0.5666666666666667
0.3,4,0.44,0.58
0.4,7,0.21333333333333335,0.6
0.4,8,0.08,0.5933333333333334
0.4,5,0.24666666666666667,0.5533333333333333
0.4,9,0.31333333333333335,0.5
0.4,1,0.22,0.44
0.4,9,0.17333333333333334,0.6333333333333333
0.4,2,0.05333333333333334,0.5666666666666667
0.4,2,0.0,0.54
0.4,3,0.19333333333333333,0.5866666666666667
0.4,9,0.11333333333333333,0.46
0.4,4,0.08,0.62
0.4,4,0.03333333333333333,0.44666666666666666
0.4,9,0.13333333333333333,0.5
0.4,5,0.09333333333333334,0.6133333333333333
0.4,2,0.64,0.5133333333333333
0.4,7,0.9933333333333333,0.5
0.4,2,0.6466666666666666,0.5
0.4,1,0.29333333333333333,0.46
0.4,4,0.14666666666666667,0.6066666666666667
0.4,2,0.37333333333333335,0.56
0.4,8,0.13333333333333333,0.5533333333333333
0.4,7,0.11333333333333333,0.5
0.4,5,0.38,0.54
